Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,905712,-,-,-,40.45,-86.9,-5,199,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2015,1,1,0,0,0,0,0,0,0,0,0,-37.69858398437498,-8.832067871093727,996.2107543945312,60.08887481689453,159.53946406906238,3.1576380729675293,251.93060302734375,6.346011638641357,0
2015,1,1,0,30,0,0,0,0,0,0,0,-37.310568237304665,-8.889105224609352,996.01904296875,60.58381652832031,162.02559393690933,3.131544828414917,251.93060302734375,6.308133125305176,0
2015,1,1,1,0,0,0,0,0,0,0,0,-36.92265930175779,-8.946112060546852,995.8273315429688,61.0819091796875,162.4682949368795,3.105451822280884,252.6318817138672,6.270255088806152,0
2015,1,1,1,30,0,0,0,0,0,0,0,-36.781759643554665,-9.020635986328102,995.5648193359375,61.31862258911133,160.72414441310926,3.0820693969726562,252.6318817138672,6.163906097412109,0
2015,1,1,2,0,0,0,0,0,0,0,0,-36.640768432617165,-9.095159912109352,995.3023071289062,61.55632019042969,157.29841418342153,3.0586867332458496,251.73452758789062,6.057557582855225,0
2015,1,1,2,30,0,0,0,0,0,0,7,-36.5157531738281,-9.187811279296852,995.1663818359375,61.79508972167969,152.83277959546444,3.0221612453460693,251.73452758789062,5.969731330871582,0
2015,1,1,3,0,0,0,0,0,0,0,1,-36.39096679687498,-9.280462646484352,995.0303955078125,62.034481048583984,147.77410624229623,2.98563551902771,250.31103515625,5.881904602050781,0
2015,1,1,3,30,0,0,0,0,0,0,1,-36.281759643554665,-9.350042724609352,994.75830078125,62.232826232910156,142.38201289196581,2.9463775157928467,250.31103515625,5.836795806884766,0
2015,1,1,4,0,0,0,0,0,0,0,7,-36.1724914550781,-9.419622802734352,994.4861450195312,62.4317512512207,136.80559379584753,2.9071195125579834,249.66404724121094,5.791686534881592,0
2015,1,1,4,30,0,0,0,0,0,0,4,-35.896627807617165,-9.498693847656227,994.2916259765625,62.835384368896484,131.13551644654126,2.857130289077759,249.66404724121094,5.674298286437988,0
2015,1,1,5,0,0,0,0,0,0,0,4,-35.62041320800779,-9.577734374999977,994.09716796875,63.241737365722656,125.43192331782075,2.8071413040161133,250.59564208984375,5.556910514831543,0
2015,1,1,5,30,0,0,0,0,0,0,7,-35.26212158203123,-9.626379394531227,993.9354858398438,63.714744567871094,119.7389840559942,2.759458303451538,250.59564208984375,5.450904846191406,0
2015,1,1,6,0,0,0,0,0,0,0,7,-34.904196166992165,-9.674993896484352,993.7738037109375,64.19032287597656,114.0927990999128,2.711775541305542,250.52865600585938,5.344898700714111,0
2015,1,1,6,30,0,0,0,0,0,0,7,-34.531759643554665,-9.646429443359352,993.8359375,64.60279846191406,108.52601539752547,2.7542855739593506,250.52865600585938,5.333430767059326,0
2015,1,1,7,0,0,0,0,0,0,0,7,-34.162741088867165,-9.617834472656227,993.8980102539062,65.01304626464844,103.07079340551117,2.796795606613159,247.44781494140625,5.321962833404541,0
2015,1,1,7,30,0,0,0,0,0,0,1,-34.16356506347654,-9.382177734374977,993.7350463867188,64.75699615478516,97.76093821628905,2.9372241497039795,247.44781494140625,5.375810623168945,0
2015,1,1,8,0,0,0,0,0,0,0,1,-34.17398681640623,-9.146551513671852,993.5720825195312,64.49079895019531,92.63360030368169,3.0776526927948,243.84994506835938,5.429657936096191,0
2015,1,1,8,30,23,0,23,18,256,28,7,-35.23898925781248,-8.362554931640602,993.3712158203125,62.41468048095703,87.72793008862443,3.2995173931121826,243.84994506835938,5.403439521789551,4
2015,1,1,9,0,35,375,81,37,510,98,7,-36.32199707031248,-7.578588867187477,993.1702880859375,60.382389068603516,83.09901796270805,3.5213818550109863,241.46922302246094,5.377221584320068,0
2015,1,1,9,30,55,441,140,50,651,176,7,-38.16046752929685,-6.526159667968727,992.972900390625,57.33869171142578,78.7964452997499,3.781909942626953,241.46922302246094,5.513303756713867,0
2015,1,1,10,0,71,503,202,59,739,252,7,-39.99443664550779,-5.473730468749977,992.7755737304688,54.44245910644531,74.88322276946465,4.04243803024292,240.3955078125,5.649385452270508,0
2015,1,1,10,30,78,589,266,66,797,320,7,-41.533346557617165,-4.477545166015602,992.6356811523438,52.021278381347656,71.42835827984747,4.23960018157959,240.3955078125,5.864796161651611,0
2015,1,1,11,0,96,583,310,71,837,378,7,-43.07756652832029,-3.4813598632812273,992.4957885742188,49.69634246826172,68.50520925429255,4.43676233291626,242.1331329345703,6.080206871032715,0
2015,1,1,11,30,127,504,330,74,863,423,7,-44.1168273925781,-2.6361145019531023,992.0743408203125,48.050315856933594,66.18738342026836,4.532631874084473,242.1331329345703,6.203312873840332,0
2015,1,1,12,0,115,603,374,77,880,455,7,-45.17449035644529,-1.7908996582031023,991.6528930664062,46.44034194946289,64.54245977442902,4.6285014152526855,246.2128143310547,6.326418876647949,0
2015,1,1,12,30,114,628,393,78,888,473,7,-45.853109741210915,-1.2561706542968523,991.3458251953125,45.44025802612305,63.62422705562036,4.713658809661865,246.2128143310547,6.361398696899414,0
2015,1,1,13,0,104,666,402,78,889,476,7,-46.53752746582029,-0.7214721679687273,991.0387573242188,44.455875396728516,63.465083234395756,4.798816680908203,250.6793670654297,6.396378040313721,0
2015,1,1,13,30,72,792,418,77,882,463,7,-46.507101440429665,-0.5329345703124773,991.0199584960938,44.34718704223633,64.07082767971545,4.942699432373047,250.6793670654297,6.3116350173950195,0
2015,1,1,14,0,152,400,318,75,867,436,7,-46.48215332031248,-0.34439697265622726,991.0011596679688,44.234169006347656,65.41968036399041,5.086582183837891,253.708740234375,6.226891994476318,0
2015,1,1,14,30,107,559,322,72,842,395,4,-46.00925292968748,-0.47360839843747726,991.1656494140625,44.734745025634766,67.46588941179415,5.27833366394043,253.708740234375,6.110915184020996,0
2015,1,1,15,0,70,678,300,68,805,341,7,-45.535177612304665,-0.6027893066406023,991.3302001953125,45.2412223815918,70.14661604494833,5.470085144042969,255.4922332763672,5.994937896728516,0
2015,1,1,15,30,103,308,192,62,752,277,4,-43.66307678222654,-0.9316772460937273,991.58837890625,47.15166091918945,73.38987693834281,5.666600227355957,255.4922332763672,5.861750602722168,0
2015,1,1,16,0,82,226,133,53,674,204,4,-41.78815307617185,-1.2605346679687273,991.8466186523438,49.1318473815918,77.1215773648591,5.863115310668945,254.51699829101562,5.7285637855529785,0
2015,1,1,16,30,57,162,82,42,555,126,7,-39.653524780273415,-1.6521362304687273,992.2379150390625,51.48469161987305,81.27054690648058,6.020784854888916,254.51699829101562,5.587221145629883,4
2015,1,1,17,0,27,97,34,26,358,52,7,-37.511557006835915,-2.0437072753906023,992.6292114257812,53.93877029418945,85.7712900659516,6.178454875946045,252.3463592529297,5.445878982543945,4
2015,1,1,17,30,0,0,0,0,0,0,6,-36.38847961425779,-2.2177185058593523,992.8582763671875,55.236114501953125,90.56316001212548,6.2964768409729,252.3463592529297,5.371888160705566,0
2015,1,1,18,0,0,0,0,0,0,0,7,-35.265158081054665,-2.3917602539062273,993.0873413085938,56.55946731567383,95.60843538360267,6.414498329162598,251.7869873046875,5.297896862030029,0
2015,1,1,18,30,0,0,0,0,0,0,6,-34.1549133300781,-2.5126708984374773,993.059326171875,57.84514617919922,100.84699621928283,6.522860050201416,251.7869873046875,5.212800025939941,0
2015,1,1,19,0,0,0,0,0,0,0,7,-33.04894104003904,-2.6335815429687273,993.0313110351562,59.149898529052734,106.24570277627045,6.631221771240234,251.8988037109375,5.127702713012695,0
2015,1,1,19,30,0,0,0,0,0,0,7,-32.049581909179665,-2.7378295898437273,993.1187744140625,60.344482421875,111.76949762773796,6.734487533569336,251.8988037109375,5.075613975524902,0
2015,1,1,20,0,0,0,0,0,0,0,7,-31.05370178222654,-2.8421081542968523,993.2061767578125,61.55474853515625,117.38569027631891,6.837752819061279,251.29437255859375,5.023525238037109,0
2015,1,1,20,30,0,0,0,0,0,0,7,-30.109945678710915,-2.9390014648437273,993.3330078125,62.717891693115234,123.06202797766412,6.960442543029785,251.29437255859375,5.004018783569336,0
2015,1,1,21,0,0,0,0,0,0,0,7,-29.16918029785154,-3.0358947753906023,993.4598388671875,63.89521789550781,128.76412803737614,7.083131790161133,250.88482666015625,4.984511852264404,0
2015,1,1,21,30,0,0,0,0,0,0,7,-28.33995666503904,-3.1476196289062273,993.6466674804688,64.97567749023438,134.45165702511852,7.248157024383545,250.88482666015625,5.005102634429932,0
2015,1,1,22,0,0,0,0,0,0,0,7,-27.511114501953102,-3.2593749999999773,993.83349609375,66.07061004638672,140.07202822206295,7.413182735443115,254.79510498046875,5.025693416595459,0
2015,1,1,22,30,0,0,0,0,0,0,7,-26.65025939941404,-3.4408630371093523,993.86865234375,67.29560852050781,145.54911619404103,7.5793986320495605,254.79510498046875,4.960048675537109,0
2015,1,1,23,0,0,0,0,0,0,0,7,-25.786474609374977,-3.6223815917968523,993.9037475585938,68.54334259033203,150.76191304859586,7.745614528656006,261.2768249511719,4.894403457641602,0
2015,1,1,23,30,0,0,0,0,0,0,7,-24.946539306640602,-3.8280090332031023,993.9344482421875,69.80844116210938,155.50386470330432,7.841650009155273,261.2768249511719,4.766477108001709,0
2015,1,2,0,0,0,0,0,0,0,0,7,-24.10283508300779,-4.033636474609352,993.9651489257812,71.09823608398438,159.4141532087648,7.937685489654541,265.849365234375,4.638550758361816,0
2015,1,2,0,30,0,0,0,0,0,0,7,-23.311788940429665,-4.218847656249977,994.1824951171875,72.31698608398438,161.91946425531444,8.070035934448242,265.849365234375,4.460483074188232,0
2015,1,2,1,0,0,0,0,0,0,0,7,-22.51763000488279,-4.404028320312477,994.3998413085938,73.55745697021484,162.39522885325613,8.202385902404785,267.8309326171875,4.282415390014648,0
2015,1,2,1,30,0,0,0,0,0,0,7,-21.90666809082029,-4.564855957031227,994.6591186523438,74.54647064208984,160.68858148801792,8.411706924438477,267.8309326171875,4.089166164398193,0
2015,1,2,2,0,0,0,0,0,0,0,7,-21.29356994628904,-4.725653076171852,994.9183959960938,75.54976654052734,157.29294373876803,8.621026992797852,266.76202392578125,3.8959171772003174,0
2015,1,2,2,30,0,0,0,0,0,0,7,-20.86192932128904,-4.848028564453102,995.17529296875,76.27452087402344,152.84744506537285,8.824588775634766,266.76202392578125,3.7157785892486572,0
2015,1,2,3,0,0,0,0,0,0,0,7,-20.428991699218727,-4.970404052734352,995.4322509765625,77.00696563720703,147.80133382734056,9.028149604797363,265.984375,3.535640001296997,0
2015,1,2,3,30,0,0,0,0,0,0,7,-20.167425537109352,-5.075811767578102,995.6589965820312,77.49239349365234,142.4167754217271,9.254545211791992,265.984375,3.3258190155029297,0
2015,1,2,4,0,0,0,0,0,0,0,7,-19.905493164062477,-5.181219482421852,995.8857421875,77.98114776611328,136.8445679731006,9.480941772460938,266.5670166015625,3.1159980297088623,0
2015,1,2,4,30,0,0,0,0,0,0,7,-19.486883544921852,-5.271337890624977,996.0628662109375,78.66665649414062,131.1764084715743,9.541110038757324,266.5670166015625,2.9131321907043457,0
2015,1,2,5,0,0,0,0,0,0,0,7,-19.067510986328102,-5.361456298828102,996.2399291992188,79.35838317871094,125.47304994668372,9.601278305053711,267.1337890625,2.710266351699829,0
2015,1,2,5,30,0,0,0,0,0,0,7,-19.012472534179665,-5.325140380859352,996.6563110351562,79.3868179321289,119.77902272495396,9.666126251220703,267.1337890625,2.520789623260498,0
2015,1,2,6,0,0,0,0,0,0,0,4,-18.95763244628904,-5.288854980468727,997.0726928710938,79.4148941040039,114.13063598722684,9.730974197387695,265.7947998046875,2.331312656402588,0
2015,1,2,6,30,0,0,0,0,0,0,7,-18.747213745117165,-5.335852050781227,997.1514282226562,79.76637268066406,108.56064916286155,9.729767799377441,265.7947998046875,2.163180112838745,0
