Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,905712,-,-,-,40.45,-86.9,-5,199,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2014,1,1,0,0,0,0,0,0,0,0,7,-9.682745361328102,-5.275091552734352,996.8634643554688,71.15668487548828,159.50947585669587,9.470563888549805,338.6747741699219,1.0898783206939697,0
2014,1,1,0,30,0,0,0,0,0,0,7,-9.640966796874977,-5.294012451171852,996.7147216796875,71.49331665039062,162.00052532205027,9.659709930419922,338.6747741699219,1.0093679428100586,0
2014,1,1,1,0,0,0,0,0,0,0,7,-9.599310302734352,-5.312902832031227,996.56591796875,71.83052825927734,162.45150492115846,9.848855972290039,358.05615234375,0.928857684135437,0
2014,1,1,1,30,0,0,0,0,0,0,7,-9.525732421874977,-5.296514892578102,996.3948974609375,72.15730285644531,160.71659296753253,10.039091110229492,358.05615234375,0.8668555021286011,0
2014,1,1,2,0,0,0,0,0,0,0,7,-9.452581787109352,-5.280126953124977,996.2238159179688,72.4830322265625,157.2981922668186,10.229325294494629,26.393238067626953,0.8048533201217651,0
2014,1,1,2,30,0,0,0,0,0,0,7,-9.405462646484352,-5.253790283203102,996.0155639648438,72.60657501220703,152.83742545920603,10.415489196777344,26.393238067626953,0.8926634788513184,0
2014,1,1,3,0,0,0,0,0,0,0,7,-9.358496093749977,-5.227423095703102,995.8073120117188,72.7291030883789,147.78177391999517,10.601652145385742,43.76378631591797,0.9804736971855164,0
2014,1,1,3,30,0,0,0,0,0,0,7,-9.248205566406227,-5.220922851562477,995.5186767578125,73.32476043701172,142.391486593543,10.751835823059082,43.76378631591797,1.0487111806869507,0
2014,1,1,4,0,0,0,0,0,0,0,4,-9.138800048828102,-5.214453124999977,995.22998046875,73.91966247558594,136.81607355856983,10.902019500732422,51.37049102783203,1.1169487237930298,0
2014,1,1,4,30,0,0,0,0,0,0,1,-9.009710693359352,-5.186712646484352,995.042236328125,74.5133285522461,131.14645162892242,10.933446884155273,51.37049102783203,1.229184627532959,0
2014,1,1,5,0,0,0,0,0,0,0,4,-8.881842041015602,-5.158972167968727,994.8544311523438,75.10394287109375,125.44291033243488,10.964875221252441,55.23781967163086,1.3414205312728882,0
2014,1,1,5,30,0,0,0,0,0,0,4,-8.809637451171852,-5.147344970703102,994.7151489257812,75.46224212646484,119.74970575161922,10.911516189575195,55.23781967163086,1.4839694499969482,0
2014,1,1,6,0,0,0,0,0,0,0,4,-8.737829589843727,-5.135748291015602,994.5758666992188,75.81990814208984,114.10298803360146,10.858158111572266,55.95745086669922,1.6265182495117188,0
2014,1,1,6,30,0,0,0,0,0,0,7,-8.715002441406227,-5.156561279296852,994.4365234375,76.07479858398438,108.53543059897594,10.821783065795898,55.95745086669922,1.7578247785568237,0
2014,1,1,7,0,0,0,0,0,0,0,7,-8.692205810546852,-5.177343749999977,994.2972412109375,76.33009338378906,103.07920493645378,10.785408973693848,58.97832489013672,1.8891313076019287,0
2014,1,1,7,30,0,0,0,0,0,0,7,-8.472784423828102,-4.999853515624977,994.2979736328125,76.61090850830078,97.7681164924465,10.768902778625488,58.97832489013672,1.9675145149230957,0
2014,1,1,8,0,0,0,0,0,0,0,7,-8.256628417968727,-4.822393798828102,994.2987060546875,76.87226867675781,92.63930868878728,10.752397537231445,63.70673370361328,2.0458977222442627,0
2014,1,1,8,30,1,0,1,14,157,20,7,-7.846655273437477,-4.099493408203102,994.325927734375,75.15451049804688,87.73215706683759,10.744736671447754,63.70673370361328,1.9381242990493774,4
2014,1,1,9,0,6,0,6,40,381,86,7,-7.448126220703102,-3.3766235351562273,994.3532104492188,73.42632293701172,83.10113438959864,10.737076759338379,67.08114624023438,1.8303508758544922,0
2014,1,1,9,30,52,0,52,54,553,161,7,-6.621496582031227,-2.3547424316406023,994.2686767578125,72.5279541015625,78.79626802601777,10.712055206298828,67.08114624023438,1.7261486053466797,0
2014,1,1,10,0,87,0,87,63,656,235,7,-5.839605712890602,-1.3328613281249773,994.1842041015625,71.41108703613281,74.88049807319024,10.687032699584961,74.2254638671875,1.6219464540481567,0
2014,1,1,10,30,124,39,137,70,724,301,7,-5.077703857421852,-0.49994506835935226,993.9178466796875,71.19441986083984,71.42282977308481,10.692294120788574,74.2254638671875,1.5027716159820557,0
2014,1,1,11,0,112,0,112,76,769,358,7,-4.353704833984352,0.33297119140627274,993.6514892578125,70.77970886230469,68.49664929574888,10.697556495666504,83.47986602783203,1.383596658706665,0
2014,1,1,11,30,130,0,130,80,799,403,7,-3.7012695312499773,0.9532714843750227,993.1925048828125,71.0758056640625,66.17562478935623,10.809770584106445,83.47986602783203,1.1494569778442383,0
2014,1,1,12,0,185,79,219,82,819,434,7,-3.0767578124999773,1.5735412597656477,992.7335205078125,71.22242736816406,64.5274272887011,10.921984672546387,98.28952026367188,0.915317177772522,0
2014,1,1,12,30,197,128,254,83,828,452,7,-2.6781982421874773,1.8335510253906477,992.3081665039062,72.01066589355469,63.605963447299224,11.137839317321777,98.28952026367188,0.6930668354034424,0
2014,1,1,13,0,154,4,157,84,830,455,7,-2.2901977539062273,2.0935302734375227,991.8828125,72.74671936035156,63.44375793166159,11.353693008422852,97.94087219238281,0.470816433429718,0
2014,1,1,13,30,174,32,189,82,823,443,7,-2.0724243164062273,2.1108947753906477,991.622802734375,73.83453369140625,64.04672568076289,11.595346450805664,97.94087219238281,0.4876847267150879,0
2014,1,1,14,0,177,75,209,80,809,417,7,-1.8577941894531023,2.1282287597656477,991.36279296875,74.91920471191406,65.39316904470431,11.837000846862793,37.519317626953125,0.5045530200004578,0
2014,1,1,14,30,164,119,210,77,785,378,7,-1.9415039062499773,1.8135620117187727,991.3427734375,76.14942169189453,67.43737663251095,11.981833457946777,37.519317626953125,0.8695124387741089,0
2014,1,1,15,0,140,64,162,71,750,327,7,-2.0257324218749773,1.4988952636718977,991.3226928710938,77.40106201171875,70.11650773708381,12.126667022705078,19.97846221923828,1.2344719171524048,0
2014,1,1,15,30,112,29,120,64,701,265,7,-2.1953186035156023,1.0100341796875227,991.3759765625,79.16816711425781,73.35854710330888,12.255830764770508,19.97846221923828,1.6751646995544434,0
2014,1,1,16,0,84,11,87,54,633,196,7,-2.3669494628906023,0.5211730957031477,991.42919921875,80.97333526611328,77.08935074016642,12.384994506835938,19.666221618652344,2.1158573627471924,0
2014,1,1,16,30,55,0,55,38,554,123,7,-2.6636108398437273,0.04213867187502274,991.4160766601562,82.00764465332031,81.23769782296746,12.520462036132812,19.666221618652344,2.4041671752929688,4
2014,1,1,17,0,27,0,27,34,364,61,7,-2.9663146972656023,-0.43686523437497726,991.4029541015625,83.02461242675781,85.73806473978613,12.655928611755371,22.94464111328125,2.692476749420166,4
2014,1,1,17,30,0,0,0,0,0,0,7,-3.2669738769531023,-0.7920288085937273,991.4208984375,83.31671142578125,90.52996070838002,12.76674747467041,22.94464111328125,2.844259262084961,0
2014,1,1,18,0,0,0,0,0,0,0,7,-3.5738281249999773,-1.1471923828124773,991.4389038085938,83.5728759765625,95.57464098328674,12.877567291259766,26.10546112060547,2.9960415363311768,0
2014,1,1,18,30,0,0,0,0,0,0,7,-3.8346313476562273,-1.4843505859374773,991.422607421875,84.0097427368164,100.81312052430344,12.917892456054688,26.10546112060547,3.0670924186706543,0
2014,1,1,19,0,0,0,0,0,0,0,7,-4.100103759765602,-1.8214782714843523,991.4063110351562,84.4214859008789,106.21179909912854,12.958218574523926,28.774662017822266,3.1381430625915527,0
2014,1,1,19,30,0,0,0,0,0,0,7,-4.351721191406227,-2.1277221679687273,991.426513671875,84.73228454589844,111.7355959177815,12.910260200500488,28.774662017822266,3.1755542755126953,0
2014,1,1,20,0,0,0,0,0,0,0,7,-4.607702636718727,-2.4339660644531023,991.44677734375,85.01779174804688,117.35180097462775,12.86230182647705,30.621978759765625,3.212965250015259,0
2014,1,1,20,30,0,0,0,0,0,0,7,-4.882025146484352,-2.7106689453124773,991.175048828125,85.00128173828125,123.02814515912584,12.789722442626953,30.621978759765625,3.219740390777588,0
2014,1,1,21,0,0,0,0,0,0,0,7,-5.161352539062477,-2.9873718261718523,990.9032592773438,84.95237731933594,128.73023274300505,12.717142105102539,31.553504943847656,3.226515293121338,0
2014,1,1,21,30,0,0,0,0,0,0,1,-5.464086914062477,-3.2697509765624773,990.6926879882812,84.78846740722656,134.4177228133568,12.617802619934082,31.553504943847656,3.1808347702026367,0
2014,1,1,22,0,0,0,0,0,0,0,4,-5.773046874999977,-3.5521606445312273,990.4821166992188,84.58427429199219,140.03803386521767,12.518463134765625,33.95061492919922,3.1351544857025146,0
2014,1,1,22,30,0,0,0,0,0,0,7,-6.086767578124977,-3.8407958984374773,990.29541015625,84.38832092285156,145.51507809788887,12.395406723022461,33.95061492919922,3.1447696685791016,0
2014,1,1,23,0,0,0,0,0,0,0,7,-6.407202148437477,-4.129461669921852,990.108642578125,84.14867401123047,150.72796997008558,12.272350311279297,32.19342041015625,3.1543848514556885,0
2014,1,1,23,30,0,0,0,0,0,0,7,-6.797247314453102,-4.524633789062477,990.0751953125,84.13350677490234,155.47049390412735,12.128056526184082,32.19342041015625,3.2799320220947266,0
2014,1,2,0,0,0,0,0,0,0,0,7,-7.197973632812477,-4.919805908203102,990.0416870117188,84.04891204833984,159.38265296219416,11.983762741088867,28.245960235595703,3.4054791927337646,0
2014,1,2,0,30,0,0,0,0,0,0,7,-7.660192871093727,-5.340582275390602,989.802490234375,83.72834014892578,161.89257429763347,11.809476852416992,28.245960235595703,3.5858395099639893,0
2014,1,2,1,0,0,0,0,0,0,0,7,-8.137426757812477,-5.761358642578102,989.563232421875,83.30943298339844,162.37640777170103,11.635190963745117,26.84471893310547,3.766199827194214,0
2014,1,2,1,30,0,0,0,0,0,0,7,-8.593695068359352,-6.139715576171852,989.4598388671875,82.75669860839844,160.67902215620353,11.449849128723145,26.84471893310547,3.924744129180908,0
2014,1,2,2,0,0,0,0,0,0,0,7,-9.064855957031227,-6.518041992187477,989.3563842773438,82.10797882080078,157.29088305558818,11.264506340026855,28.061779022216797,4.083288192749023,0
2014,1,2,2,30,0,0,0,0,0,0,7,-9.503118896484352,-6.889868164062477,989.4463500976562,81.62987518310547,152.85043207770678,11.042442321777344,28.061779022216797,4.204317092895508,0
2014,1,2,3,0,0,0,0,0,0,0,7,-9.955358886718727,-7.261694335937477,989.5363159179688,81.06175994873047,147.80748255547323,10.820379257202148,28.178089141845703,4.325345993041992,0
2014,1,2,3,30,0,0,0,0,0,0,7,-10.377935791015602,-7.608251953124977,989.3369750976562,80.52571105957031,142.42482683116702,10.530481338500977,28.178089141845703,4.543679237365723,0
2014,1,2,4,0,0,0,0,0,0,0,7,-10.813360595703102,-7.954840087890602,989.1376342773438,79.90835571289062,136.85368721050287,10.240584373474121,26.006908416748047,4.762012004852295,0
2014,1,2,4,30,0,0,0,0,0,0,7,-11.121893310546852,-8.264044189453102,989.1309814453125,79.86497497558594,131.18601845499785,9.946175575256348,26.006908416748047,4.8728227615356445,0
2014,1,2,5,0,0,0,0,0,0,0,7,-11.437414550781227,-8.573217773437477,989.124267578125,79.77696990966797,125.48272705465504,9.651766777038574,22.637374877929688,4.983633041381836,0
2014,1,2,5,30,0,0,0,0,0,0,7,-11.608160400390602,-8.796789550781227,989.2135009765625,80.08000946044922,119.78843429634047,9.346780776977539,22.637374877929688,5.092257499694824,0
2014,1,2,6,0,0,0,0,0,0,0,7,-11.781072998046852,-9.020361328124977,989.302734375,80.37140655517578,114.13950222443826,9.04179573059082,20.555747985839844,5.200882434844971,0
2014,1,2,6,30,0,0,0,0,0,0,7,-11.916632080078102,-9.178808593749977,989.435791015625,80.49494171142578,108.56871897164926,8.729151725769043,20.555747985839844,5.266136169433594,0
2014,1,2,7,0,0,0,0,0,0,0,7,-12.053594970703102,-9.337255859374977,989.5687866210938,80.61009979248047,103.1083062343665,8.416507720947266,19.809158325195312,5.331390380859375,0
2014,1,2,7,30,0,0,0,0,0,0,7,-12.176275634765602,-9.452429199218727,989.7344970703125,80.5443344116211,97.79207528980345,8.072779655456543,19.809158325195312,5.376036643981934,0
2014,1,2,8,0,0,0,0,0,0,0,7,-12.300054931640602,-9.567572021484352,989.900146484375,80.47093963623047,92.6571449511439,7.729052543640137,18.97534942626953,5.42068338394165,0
2014,1,2,8,30,0,0,0,14,162,21,7,-12.305548095703102,-9.461309814453102,990.127685546875,79.76686096191406,87.74284147601365,7.329629898071289,18.97534942626953,5.440427780151367,4
2014,1,2,9,0,2,0,2,41,393,88,7,-12.311041259765602,-9.355078124999977,990.3552856445312,79.06969451904297,83.10360664416535,6.930207252502441,17.782936096191406,5.460171699523926,0
2014,1,2,9,30,37,0,37,55,571,166,7,-12.159429931640602,-9.022955322265602,990.6115112304688,77.98414611816406,78.78941298600712,6.504165172576904,17.782936096191406,5.496776103973389,0
2014,1,2,10,0,41,0,41,64,678,242,7,-12.009405517578102,-8.690832519531227,990.8677368164062,76.90818786621094,74.86319972105612,6.078123092651367,17.04680633544922,5.533380508422852,0
2014,1,2,10,30,84,0,84,72,749,311,4,-11.823583984374977,-8.300695800781227,991.0224609375,75.72700500488281,71.39402847607143,5.694901466369629,17.04680633544922,5.624240875244141,0
2014,1,2,11,0,67,0,67,77,798,371,4,-11.640173339843727,-7.910528564453102,991.17724609375,74.5550537109375,68.4554337954921,5.311679840087891,16.07537841796875,5.71510124206543,0
2014,1,2,11,30,76,0,76,81,831,418,4,-11.586706542968727,-7.692633056640602,991.0789794921875,73.62215423583984,66.12135062962778,5.025045871734619,16.07537841796875,5.800299644470215,4
2014,1,2,12,0,82,0,82,84,853,452,4,-11.533483886718727,-7.474737548828102,990.9806518554688,72.7017593383789,64.45984227423952,4.738412380218506,13.729476928710938,5.885497570037842,4
2014,1,2,12,30,86,0,86,85,866,472,4,-11.736059570312477,-7.527929687499977,991.1192626953125,71.82749938964844,63.52530614670199,4.512460708618164,13.729476928710938,5.974366188049316,4
2014,1,2,13,0,116,0,116,86,871,476,4,-11.941687011718727,-7.581121826171852,991.2578735351562,70.94462585449219,63.35079024889002,4.286508560180664,10.380928039550781,6.063234329223633,4
2014,1,2,13,30,113,0,113,85,867,466,7,-12.289038085937477,-7.720068359374977,991.532958984375,69.73760986328125,63.94267541582839,4.101970672607422,10.380928039550781,6.136388778686523,4
2014,1,2,14,0,107,0,107,82,856,441,4,-12.645452880859352,-7.859014892578102,991.80810546875,68.49600219726562,65.279590828817,3.9174327850341797,7.409149169921875,6.209542751312256,0
2014,1,2,14,30,128,0,128,79,836,401,4,-13.023718261718727,-8.108557128906227,992.1853637695312,67.73116302490234,67.31597119030712,3.7687458992004395,7.409149169921875,6.218502044677734,0
2014,1,2,15,0,112,0,112,74,804,349,7,-13.412969970703102,-8.358099365234352,992.5626220703125,66.9112319946289,69.9889499271356,3.620059013366699,4.488075256347656,6.227461338043213,4
2014,1,2,15,30,97,0,97,66,759,286,4,-13.782751464843727,-8.697302246093727,993.3271484375,66.66613006591797,73.22635920367495,3.458691358566284,4.488075256347656,6.146491050720215,0
2014,1,2,16,0,52,0,52,56,697,214,4,-14.163458251953102,-9.036535644531227,994.0916748046875,66.36157989501953,76.95383288384646,3.29732346534729,0.37087249755859375,6.065520286560059,0
2014,1,2,16,30,34,0,34,40,628,137,7,-14.443334960937477,-9.460211181640602,994.8333740234375,67.04784393310547,81.0999087263337,3.1707026958465576,0.37087249755859375,5.893082618713379,4
2014,1,2,17,0,17,0,17,36,438,69,7,-14.729589843749977,-9.883886718749977,995.5751342773438,67.71012878417969,85.59884641808092,3.044081926345825,355.11297607421875,5.720644950866699,4
2014,1,2,17,30,0,0,0,0,0,0,7,-14.834936523437477,-10.135809326171852,996.2586669921875,68.4735336303711,90.39009207397739,2.9423749446868896,355.11297607421875,5.734658241271973,0
2014,1,2,18,0,0,0,0,0,0,0,7,-14.941290283203102,-10.387762451171852,996.9422607421875,69.24246215820312,95.43414001804227,2.840667963027954,351.5044250488281,5.748671531677246,0
2014,1,2,18,30,0,0,0,0,0,0,7,-15.000738525390602,-10.610388183593727,997.4661865234375,70.13018798828125,100.672518428161,2.7795443534851074,351.5044250488281,5.733861923217773,0
2014,1,2,19,0,0,0,0,0,0,0,4,-15.060522460937477,-10.833013916015602,997.9901123046875,71.02952575683594,106.0712771637843,2.7184207439422607,350.1243896484375,5.719052791595459,0
2014,1,2,19,30,0,0,0,0,0,0,1,-15.366094970703102,-11.230413818359352,998.4231567382812,71.48613739013672,111.59523790277684,2.668692111968994,350.1243896484375,5.639932632446289,0
2014,1,2,20,0,0,0,0,0,0,0,1,-15.679022216796852,-11.627813720703102,998.856201171875,71.90455627441406,117.21160766458152,2.6189634799957275,350.4340515136719,5.560812473297119,0
2014,1,2,20,30,0,0,0,0,0,0,4,-16.108984374999977,-12.008245849609352,999.1604614257812,71.53064727783203,122.8880451953022,2.5458333492279053,350.4340515136719,5.429614543914795,0
2014,1,2,21,0,0,0,0,0,0,0,4,-16.553442382812477,-12.388708496093727,999.4647216796875,71.06999206542969,128.59009310310827,2.472703456878662,351.36395263671875,5.298416614532471,0
2014,1,2,21,30,0,0,0,0,0,0,1,-16.861120605468727,-12.618688964843727,999.5924682617188,70.5606689453125,134.27736663079952,2.3697378635406494,351.36395263671875,5.147279739379883,0
2014,1,2,22,0,0,0,0,0,0,0,4,-17.176184082031227,-12.848669433593727,999.72021484375,70.00935363769531,139.89728468191032,2.2667722702026367,351.808349609375,4.996143341064453,0
2014,1,2,22,30,0,0,0,0,0,0,1,-17.382879638671852,-13.019201660156227,999.7196044921875,69.75946044921875,145.37388033796952,2.1450083255767822,351.808349609375,4.805234909057617,0
2014,1,2,23,0,0,0,0,0,0,0,1,-17.592855834960915,-13.189733886718727,999.7189331054688,69.4904556274414,150.58671702942829,2.0232441425323486,351.6830749511719,4.6143269538879395,0
2014,1,2,23,30,0,0,0,0,0,0,0,-17.657171630859352,-13.275213623046852,999.919921875,69.59562683105469,155.33088972657936,1.9328439235687256,351.6830749511719,4.375046253204346,0
2014,1,3,0,0,0,0,0,0,0,0,1,-17.721807861328102,-13.360693359374977,1000.120849609375,69.69908905029297,159.24968692761593,1.842443585395813,351.565673828125,4.135765552520752,0
2014,1,3,0,30,0,0,0,0,0,0,1,-17.719061279296852,-13.425451660156227,1000.419677734375,70.08291625976562,161.77720076201808,1.7884489297866821,351.565673828125,3.9322943687438965,0
2014,1,3,1,0,0,0,0,0,0,0,1,-17.716314697265602,-13.490209960937477,1000.7184448242188,70.46907806396484,162.29298717530315,1.7344542741775513,350.4223327636719,3.72882342338562,0
2014,1,3,1,30,0,0,0,0,0,0,1,-17.684973144531227,-13.538702392578102,1001.3571166992188,70.93473052978516,160.63316822171248,1.734083890914917,350.4223327636719,3.543063163757324,0
2014,1,3,2,0,0,0,0,0,0,0,1,-17.653692626953102,-13.587225341796852,1001.9957885742188,71.40345764160156,157.2759497689596,1.7337135076522827,347.20477294921875,3.357302665710449,0
2014,1,3,2,30,0,0,0,0,0,0,8,-17.573751831054665,-13.604528808593727,1002.0967407226562,71.98754119873047,152.85653943252407,1.7674062252044678,347.20477294921875,3.058154344558716,0
2014,1,3,3,0,0,0,0,0,0,0,1,-17.494268798828102,-13.621832275390602,1002.1976928710938,72.5732421875,147.82686336244336,1.8010989427566528,345.4372253417969,2.7590060234069824,0
2014,1,3,3,30,0,0,0,0,0,0,8,-17.44933166503904,-13.715917968749977,1002.223876953125,73.4084701538086,142.4522375028056,1.8601738214492798,345.4372253417969,2.426809310913086,0
