Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,905712,-,-,-,40.45,-86.9,-5,199,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2013,1,1,0,0,0,0,0,0,0,0,7,-3.9890502929687273,-1.8963989257812273,990.2179565429688,85.5985336303711,159.47911721238472,11.253744125366211,337.7796630859375,3.112992763519287,0
2013,1,1,0,30,0,0,0,0,0,0,7,-4.640966796874977,-2.3394226074218523,990.3160400390625,84.21410369873047,161.97501136982373,10.676725387573242,337.7796630859375,3.1186563968658447,0
2013,1,1,1,0,0,0,0,0,0,0,7,-5.322851562499977,-2.7824462890624773,990.4140625,82.65177154541016,162.4342200592517,10.099706649780273,346.3682861328125,3.1243200302124023,0
2013,1,1,1,30,0,0,0,0,0,0,7,-5.915472412109352,-3.1735595703124773,990.7147827148438,81.3427963256836,160.70855441983048,9.673808097839355,346.3682861328125,3.1292901039123535,0
2013,1,1,2,0,0,0,0,0,0,0,7,-6.533331298828102,-3.5646728515624773,991.0155029296875,79.88957977294922,157.29752577088328,9.247909545898438,352.292724609375,3.1342601776123047,0
2013,1,1,2,30,0,0,0,0,0,0,7,-7.057928466796852,-3.9009155273437273,991.2099609375,78.69127655029297,152.84167108178946,8.866782188415527,352.292724609375,3.196019172668457,0
2013,1,1,3,0,0,0,0,0,0,0,7,-7.602331542968727,-4.237158203124977,991.4044799804688,77.384033203125,147.78907554037283,8.485654830932617,356.51904296875,3.2577784061431885,0
2013,1,1,3,30,0,0,0,0,0,0,7,-7.899450683593727,-4.498632812499977,991.51904296875,77.126953125,142.4006177275292,8.226489067077637,356.51904296875,3.299696922302246,0
2013,1,1,4,0,0,0,0,0,0,0,7,-8.202917480468727,-4.760137939453102,991.633544921875,76.83200073242188,136.8262256879816,7.96732234954834,356.39422607421875,3.3416154384613037,0
2013,1,1,4,30,0,0,0,0,0,0,7,-8.297216796874977,-4.961187744140602,991.707763671875,77.4377670288086,131.15706765427188,7.8624138832092285,356.39422607421875,3.3650646209716797,0
2013,1,1,5,0,0,0,0,0,0,0,7,-8.392156982421852,-5.162237548828102,991.7819213867188,78.0459213256836,125.45358178258871,7.757505416870117,355.5195007324219,3.3885140419006348,0
2013,1,1,5,30,0,0,0,0,0,0,7,-8.412969970703102,-5.323553466796852,992.0316162109375,78.87765502929688,119.76011169768415,7.655121803283691,355.5195007324219,3.4093356132507324,0
2013,1,1,6,0,0,0,0,0,0,0,7,-8.433843994140602,-5.484869384765602,992.28125,79.7192153930664,114.11285802389911,7.552738189697266,355.3008117675781,3.43015718460083,0
2013,1,1,6,30,0,0,0,0,0,0,7,-8.431494140624977,-5.664739990234352,992.43115234375,80.83067321777344,108.54452119681291,7.479243755340576,355.3008117675781,3.4324684143066406,0
2013,1,1,7,0,0,0,0,0,0,0,7,-8.429174804687477,-5.844580078124977,992.5810546875,81.95909118652344,103.08728413432914,7.405749320983887,356.4180603027344,3.4347798824310303,0
2013,1,1,7,30,0,0,0,0,0,0,7,-8.439886474609352,-5.950079345703102,992.655029296875,82.55144500732422,97.77495294892806,7.348698616027832,356.4180603027344,3.422699213027954,0
2013,1,1,8,0,0,0,0,0,0,0,7,-8.450628662109352,-6.055578613281227,992.7290649414062,83.14861297607422,92.64466428551376,7.2916483879089355,357.04425048828125,3.410618543624878,0
2013,1,1,8,30,14,171,21,14,171,21,7,-8.196569824218727,-5.568945312499977,993.0728149414062,81.72349548339844,87.73578158606774,7.254870891571045,357.04425048828125,3.350372791290283,4
2013,1,1,9,0,41,405,89,41,405,89,0,-7.946844482421852,-5.082281494140602,993.4165649414062,80.30459594726562,83.1027671278162,7.218092918395996,358.4805603027344,3.2901272773742676,0
2013,1,1,9,30,53,581,166,53,581,166,0,-7.568121337890602,-4.223394775390602,993.66064453125,77.50878143310547,78.79563490295133,7.177375316619873,358.4805603027344,3.1830763816833496,0
2013,1,1,10,0,63,686,242,63,686,242,1,-7.199102783203102,-3.3645080566406023,993.9047241210938,74.78215026855469,74.87732314220106,7.13665771484375,5.412109375,3.0760252475738525,0
2013,1,1,10,30,69,754,310,69,754,310,1,-6.919622802734352,-2.4985717773437273,993.8536376953125,71.64604949951172,71.41684897276986,6.995363235473633,5.412109375,2.8199679851531982,0
2013,1,1,11,0,75,800,368,75,800,368,1,-6.645666503906227,-1.6326660156249773,993.8026123046875,68.64068603515625,68.48763271497566,6.854068756103516,10.149467468261719,2.563910722732544,0
2013,1,1,11,30,144,413,311,78,832,415,7,-6.452032470703102,-1.0932373046874773,993.5001220703125,66.96389770507812,66.1634055723885,6.615066051483154,10.149467468261719,2.3425962924957275,0
2013,1,1,12,0,168,346,317,81,853,448,7,-6.261175537109352,-0.5538085937499773,993.1975708007812,65.3241958618164,64.51193259105625,6.376062870025635,6.285377502441406,2.121281862258911,0
2013,1,1,12,30,156,450,356,82,865,467,7,-6.289709472656227,-0.31043090820310226,992.78173828125,64.03760528564453,63.58723923664385,6.085413932800293,6.285377502441406,1.978346347808838,0
2013,1,1,13,0,150,485,367,82,870,472,7,-6.318273925781227,-0.06702270507810226,992.3659057617188,62.77820587158203,63.42197807468524,5.794764518737793,354.48974609375,1.8354109525680542,0
2013,1,1,13,30,81,866,461,81,866,461,1,-6.442175292968727,-0.06525268554685226,992.5538330078125,62.17815399169922,64.02217921501443,5.626711368560791,354.48974609375,1.6105210781097412,0
2013,1,1,14,0,79,855,436,79,855,436,0,-6.567175292968727,-0.06351318359372726,992.74169921875,61.578189849853516,65.36622734495171,5.458658218383789,333.2933044433594,1.3856310844421387,0
2013,1,1,14,30,75,835,396,75,835,396,0,-6.985632324218727,-0.41501464843747726,992.7312622070312,61.174888610839844,67.4084499319854,5.240602493286133,333.2933044433594,1.451493263244629,0
2013,1,1,15,0,70,804,345,70,804,345,0,-7.416479492187477,-0.7665466308593523,992.7208251953125,60.71381378173828,70.08600321619453,5.022546291351318,322.6274108886719,1.5173555612564087,0
2013,1,1,15,30,63,760,282,63,760,282,0,-8.048803710937477,-1.4038452148437273,992.4841918945312,60.575096130371094,73.32683755528726,4.848199844360352,322.6274108886719,1.7540702819824219,0
2013,1,1,16,0,53,699,210,53,699,210,0,-8.709936523437477,-2.0411437988281023,992.24755859375,60.299957275390625,77.0567569439601,4.673853397369385,326.36590576171875,1.990785002708435,0
2013,1,1,16,30,37,632,134,37,632,134,0,-8.846289062499977,-2.8008483886718523,992.4630126953125,63.111148834228516,81.2044831802162,4.58949089050293,326.36590576171875,2.2742056846618652,0
2013,1,1,17,0,34,454,68,34,454,68,0,-8.984136962890602,-3.5605224609374773,992.6784057617188,66.06806182861328,85.70444090205312,4.505128860473633,330.7337341308594,2.557626247406006,0
2013,1,1,17,30,0,0,0,0,0,0,0,-9.253027343749977,-3.9817565917968523,992.8079833984375,66.76343536376953,90.4961261961125,4.458274841308594,330.7337341308594,2.7871131896972656,0
2013,1,1,18,0,0,0,0,0,0,0,1,-9.527197265624977,-4.403021240234352,992.9375610351562,67.44242858886719,95.54060058746826,4.411421298980713,334.47186279296875,3.0166001319885254,0
2013,1,1,18,30,0,0,0,0,0,0,1,-9.855169677734352,-4.840002441406227,993.39599609375,67.9249496459961,100.77901409227223,4.361433982849121,334.47186279296875,3.124786853790283,0
2013,1,1,19,0,0,0,0,0,0,0,1,-10.191259765624977,-5.276983642578102,993.8543701171875,68.37022399902344,106.17767764537746,4.311446666717529,333.6600341796875,3.232973575592041,0
2013,1,1,19,30,0,0,0,0,0,0,4,-10.543096923828102,-5.722326660156227,993.9765014648438,68.77969360351562,111.70148689672901,4.248847484588623,333.6600341796875,3.18660306930542,0
2013,1,1,20,0,0,0,0,0,0,0,1,-10.904058837890602,-6.167669677734352,994.0986328125,69.14427185058594,117.31771206834675,4.186247825622559,334.2352600097656,3.1402323246002197,0
